,questions,class0
1076,امروز شهر قشنگ شده,4
1077,فردا چیکار کنیم,4
1078,پارسال بهار دسته جمعی رفته بودیم زیارتxD,4
1079,بیشترین تفاوت ساعت با ایران مربوط به کجاست,4
1080,خانومی ساعتی چند,4
1081,اون ور آب ساعتی چنده,4
1082,اگر الان ۶ باشه فردا کی ساعت ۶ میشه,4
1083,وقتی من دارم به کلاسای آنلاین کسشر گوش میدم جایی مثل آمریکا که شبه چند نفر دارن واسه همدیگه میخورن,4
1084,چند نفر دارن به قتل میرسن,4
1085,چند نفر به دنیا میان,4
1086,جالبه دونستن اینا,4
1087,چند ساعت دیگه می‌رسیم,4
1088,می‌شه نیم ساعت قبل از رفتنت به من خبر بدی,4
1089,کی بیام,4
1090,وقت دکترت واسه چند شنبه بود,4
1091,هفته دیگر,4
1092,چهارشنبه ۸ آذر,4
1093,تولد تو کی است,4
1094,تولد علی کی بود,4
1095,هیچ استفاده‌ای از تقویم فیزیکی نمیکنم شما چطور,4
1096,صفر ماه سنگینیه,4
1097,اسفند شده خیابون‌ها ترافیکه,4
1098,طبق تقویم داره نزدیک یکسال میشه که کرونا اومده,4
1099,در تاریخ ۹,4
1100,۹,4
1101,۹۹ چه تعداد کودک به دنیا امدند,4
1102,ماهو دیدن,4
1103,برای ماه رمضون,4
1104,تقویم چه کشورایی با خورشید تنظیم نشده,4
1105,ماه گرد نامزدی هم جشن میگیرن,4
1106,چندم میرسی مشتی,4
1107,دوست دارم یه بار روز جهانی بدون سوتین رو جشن بگیرم خخخ,4
1108,چرا نصف سپتامبر شهریوره نصف دیگش مهره,4
